Model,Race,Accuracy,Precision,Recall,ROC-AUC,Confusion Matrix,State
All Races,Asian,0.8896818181818181,0.43110838946723823,0.7121901871522509,0.5370970818233836,"[[18165  1858]
 [  569  1408]]",5.0
White Only,Black,0.9296818181818182,0.7467136902853478,0.7546986390149061,0.7506849315068493,"[[18124   790]
 [  757  2329]]",5.0
All Races,Black,0.9108636363636363,0.6519859497433126,0.7819183408943616,0.7110652718432297,"[[17626  1288]
 [  673  2413]]",5.0
White Only,Hawaiian/Other,0.9242727272727272,0.6166365280289331,0.7377758546083947,0.6717888100866825,"[[18629  1060]
 [  606  1705]]",5.0
All Races,Hawaiian/Other,0.9092727272727272,0.5493885230479775,0.7581133708351363,0.6370909090909092,"[[18252  1437]
 [  559  1752]]",5.0
White Only,White,0.8734545454545455,0.6035624571820051,0.7160661067461392,0.6550185873605948,"[[16573  1736]
 [ 1048  2643]]",5.0
All Races,White,0.8658181818181818,0.5794452805848205,0.7301544296938499,0.6461280268520738,"[[16353  1956]
 [  996  2695]]",5.0
White Only,American Indian,0.9213636363636364,0.6075055187637969,0.620658547586829,0.6140116019634092,"[[18894   889]
 [  841  1376]]",6.0
All Races,American Indian,0.9195,0.597465034965035,0.6165990076680199,0.6068812430632631,"[[18862   921]
 [  850  1367]]",6.0
White Only,Asian,0.9414090909090909,0.6691248770894789,0.6884167931208902,0.6786337571677886,"[[19350   673]
 [  616  1361]]",6.0
All Races,Asian,0.9385,0.6538461538461539,0.6707132018209409,0.6621722846441948,"[[19321   702]
 [  651  1326]]",6.0
White Only,Black,0.9286363636363636,0.7469055374592833,0.7430330524951393,0.7449642625081222,"[[18137   777]
 [  793  2293]]",6.0
All Races,Black,0.9273636363636364,0.7386144964720975,0.7462734931950745,0.7424242424242425,"[[18099   815]
 [  783  2303]]",6.0
White Only,Hawaiian/Other,0.9429545454545455,0.7315789473684211,0.7217654694937257,0.7266390764539317,"[[19077   612]
 [  643  1668]]",6.0
